SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""2"""," ""SYSTEM"""," ""Thread Start"""," ""main (1)""",,,
main," ""3"""," ""SYSTEM"""," ""Type Load"""," ""class=java.lang.Object""",,,
main," ""4"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.Component""",,,
main," ""5"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.Container""",,,
main," ""6"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.Window""",,,
main," ""7"""," ""SYSTEM"""," ""Type Load"""," ""class=java.awt.Frame""",,,
main," ""8"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.application.DrawApplication""",,,
main," ""9"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.samples.javadraw.JavaDrawApp""",,,
main," ""10"""," ""SYSTEM"""," ""Method Call"""," ""caller=SYSTEM"," target=CH.ifa.draw.application.DrawApplication#<clinit>:1""",,
main," ""11"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""12"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""13"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.application.DrawApplication"," fgUntitled=""""untitled""""""",,
main," ""14"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""15"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication#<clinit>:1"," value=<void>""",,
main," ""16"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""17"""," ""SYSTEM"""," ""Method Call"""," ""caller=SYSTEM"," target=CH.ifa.draw.samples.javadraw.JavaDrawApp#<clinit>:1""",,
main," ""18"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""19"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""20"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.samples.javadraw.JavaDrawApp"," fgSampleImagesPath=""""CH/ifa/draw/samples/javadraw/sampleimages/""""""",,
main," ""21"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""22"""," ""SYSTEM"""," ""Field Read"""," ""context=CH.ifa.draw.samples.javadraw.JavaDrawApp"," fgSampleImagesPath""",,
main," ""23"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.samples.javadraw.JavaDrawApp"," fgSampleImagesResourcePath=""""/CH/ifa/draw/samples/javadraw/sampleimages/""""""",,
main," ""24"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.samples.javadraw.JavaDrawApp#<clinit>:1"," value=<void>""",,
main," ""25"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""26"""," ""SYSTEM"""," ""Method Call"""," ""caller=SYSTEM"," target=CH.ifa.draw.samples.javadraw.JavaDrawApp#main:1""",,
main," ""27"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""28"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.samples.javadraw.JavaDrawApp#main:1"," args=java.lang.String[0] (id=110)""",,
main," ""29"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""30"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,,
main," ""31"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.samples.javadraw.JavaDrawApp#main:1"," target=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""32"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""33"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""34"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1"," target=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""35"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""36"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1"," name=""""JHotDraw""""""",,
main," ""37"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""38"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1"," target=CH.ifa.draw.application.DrawApplication:1#CH.ifa.draw.application.DrawApplication:1""",,
main," ""39"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""40"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#CH.ifa.draw.application.DrawApplication:1"," title=""""JHotDraw""""""",,
main," ""41"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""42"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""43"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#CH.ifa.draw.application.DrawApplication:1"," value=<void>""",,
main," ""44"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""45"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""46"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1"," value=<void>""",,
main," ""47"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""48"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""49"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#CH.ifa.draw.samples.javadraw.JavaDrawApp:1"," value=<void>""",,
main," ""50"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""51"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""52"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.samples.javadraw.JavaDrawApp#main:1"," window=CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""53"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""54"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.samples.javadraw.JavaDrawApp#main:1"," target=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#open:1""",,
main," ""55"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""56"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""57"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.samples.javadraw.JavaDrawApp:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#open:1""",,
main," ""58"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""59"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""60"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.util.Iconkit""",,,
main," ""61"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.util.Iconkit#<clinit>:1""",,
main," ""62"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""63"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""64"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit"," fgIconkit=null""",,
main," ""65"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""66"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit"," fgDebug=false""",,
main," ""67"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.Iconkit#<clinit>:1"," value=<void>""",,
main," ""68"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""69"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""70"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.util.Iconkit:1""",,,
main," ""71"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.util.Iconkit:1#CH.ifa.draw.util.Iconkit:1""",,
main," ""72"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""73"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.Iconkit:1#CH.ifa.draw.util.Iconkit:1"," component=CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""74"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""75"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""76"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.Iconkit:1"," fMap=java.util.Hashtable (id=130)""",,
